Dec. 30, 2025   15:17:38
Cyclic Voltammetry
0.277, 2.490e-5
0.278, 2.512e-5
0.279, 2.501e-5
0.280, 2.523e-5
0.281, 2.512e-5
0.282, 2.533e-5
0.283, 2.524e-5
0.284, 2.546e-5
0.285, 2.533e-5
0.286, 2.556e-5
0.287, 2.545e-5
0.288, 2.567e-5
0.289, 2.556e-5
0.290, 2.578e-5
0.291, 2.566e-5
0.292, 2.590e-5
0.293, 2.577e-5
0.294, 2.602e-5
0.295, 2.592e-5
0.296, 2.613e-5
0.297, 2.603e-5
0.298, 2.625e-5
0.299, 2.613e-5
0.300, 2.636e-5
0.301, 2.625e-5
0.302, 2.647e-5
0.303, 2.637e-5
0.304, 2.658e-5
0.305, 2.649e-5
0.306, 2.670e-5
0.307, 2.661e-5
0.308, 2.682e-5
0.309, 2.671e-5
0.310, 2.694e-5
0.311, 2.683e-5
0.312, 2.705e-5
0.313, 2.696e-5
0.314, 2.719e-5
0.315, 2.706e-5
0.316, 2.729e-5
0.317, 2.719e-5
0.318, 2.741e-5
0.319, 2.730e-5
0.320, 2.753e-5
0.321, 2.742e-5
0.322, 2.765e-5
0.323, 2.753e-5
0.324, 2.776e-5
0.325, 2.766e-5
0.326, 2.786e-5
0.327, 2.777e-5
0.328, 2.798e-5
0.329, 2.788e-5
0.330, 2.809e-5
0.331, 2.799e-5
0.332, 2.820e-5
0.333, 2.811e-5
0.334, 2.833e-5
0.335, 2.822e-5
0.336, 2.843e-5
0.337, 2.835e-5
0.338, 2.857e-5
0.339, 2.846e-5
0.340, 2.868e-5
0.341, 2.857e-5
0.342, 2.879e-5
0.343, 2.868e-5
0.344, 2.889e-5
0.345, 2.881e-5
0.346, 2.901e-5
0.347, 2.891e-5
0.348, 2.914e-5
0.349, 2.901e-5
0.350, 2.922e-5
0.351, 2.913e-5
0.352, 2.934e-5
0.353, 2.922e-5
0.354, 2.943e-5
0.355, 2.932e-5
0.356, 2.954e-5
0.357, 2.941e-5
0.358, 2.964e-5
0.359, 2.954e-5
0.360, 2.973e-5
0.361, 2.963e-5
0.362, 2.985e-5
0.363, 2.974e-5
0.364, 2.993e-5
0.365, 2.984e-5
0.366, 3.003e-5
0.367, 2.993e-5
0.368, 3.013e-
